"Data Source: 2016 Dataset (released March 2018)"
" "
"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","ARSENIC COMPOUNDS","'N020'","C","R","NAICS 2122 - Metal Mining","       250.0000000","       250.0000000","       500.0000000","       250.0000000","          .0000000","   5200000.0000000","   5440750.0000000",".","   5440750.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    240000.0000000","    240000.0000000","   5200000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","CADMIUM COMPOUNDS","'N078'","C","R","NAICS 2122 - Metal Mining","         5.0000000","          .0000000","         5.0000000","       250.0000000","          .0000000","    120000.0000000","    120505.0000000",".","    120505.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","       800.0000000","       800.0000000","    120000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)","'N090'","C","R","NAICS 2122 - Metal Mining","       250.0000000","       250.0000000","       500.0000000","       250.0000000","          .0000000","  43000000.0000000","  43200750.0000000",".","  43200750.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    270000.0000000","    270000.0000000","  43000000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","COPPER COMPOUNDS","'N100'","C","R","NAICS 2122 - Metal Mining","      8300.0000000","       750.0000000","      9050.0000000","      1710.0000000","          .0000000"," 330000000.0000000"," 405010760.0000000","."," 405010760.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","  75000000.0000000","  75000000.0000000"," 330000000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","CRESOL (MIXED ISOMERS)","'001319773'","C","R","NAICS 2122 - Metal Mining","       250.0000000","          .0000000","       250.0000000","       250.0000000","          .0000000","       250.0000000","      2750.0000000",".","      2750.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      2700.0000000","      2700.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","CYANIDE COMPOUNDS","'N106'","C","R","NAICS 2122 - Metal Mining","      1600.0000000","      1100.0000000","      2700.0000000","       750.0000000","          .0000000","       250.0000000","     54700.0000000",".","     54700.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","     55000.0000000","     55000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2122 - Metal Mining","          .0000000","      5400.0000000","      5400.0000000","          .0000000","          .0000000","          .0000000","      5400.0000000",".","      5400.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      5400.0000000","      5400.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","LEAD COMPOUNDS","'N420'","C","R","NAICS 2122 - Metal Mining","       250.0000000","         5.0000000","       255.0000000","       250.0000000","          .0000000","  39000000.0000000","  39062505.0000000",".","  39062505.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","     63000.0000000","     63000.0000000","  39000000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","MANGANESE COMPOUNDS","'N450'","C","R","NAICS 2122 - Metal Mining","       750.0000000","       750.0000000","      1500.0000000","       260.0000000","          .0000000","  47000000.0000000","  47068760.0000000",".","  47068760.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    270000.0000000","    270000.0000000","  47000000.0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","MERCURY COMPOUNDS","'N458'","C","R","NAICS 2122 - Metal Mining","          .0000000","        62.0000000","        62.0000000","         5.0000000","          .0000000","     15000.0000000","     15072.0000000",".","     15072.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","        80.0000000","        80.0000000","     15000.0000000"
